iter	RMSE
0	1.096856066
1	1.093067609
2	1.089971276
3	1.086888209
4	1.084001966
5	1.081443346
6	1.079183912
7	1.077191108
8	1.075296823
9	1.073645725
10	1.071841631
11	1.070565388
12	1.069026055
13	1.067823095
14	1.066509513
15	1.065321509
16	1.064402781
17	1.063605052
18	1.062604135
19	1.06174855
20	1.060914565
21	1.060160588
22	1.059560845
23	1.05901242
24	1.058393403
25	1.057639624
26	1.056983827
27	1.056446228
28	1.055874477
29	1.055186612
30	1.054819556
31	1.054397652
32	1.053767692
33	1.053398094
34	1.052968397
35	1.052361577
36	1.052009043
37	1.051566899
38	1.051221882
39	1.050773529
40	1.050414649
41	1.050177582
42	1.049718958
43	1.049311894
44	1.048948868
45	1.048637572
46	1.048314134
47	1.048023201
48	1.047673005
49	1.047511612
50	1.047137726
51	1.046619056
52	1.046192079
53	1.045814115
54	1.045490591
55	1.045161799
56	1.044876013
57	1.044555302
58	1.044190664
59	1.043956075
60	1.043527804
61	1.043151412
62	1.042869421
63	1.042582809
64	1.042330893
65	1.042060487
66	1.041676043
67	1.041202805
68	1.04086308
69	1.040687603
70	1.040406322
71	1.039901935
72	1.03951777
73	1.03908396
74	1.038774646
75	1.038449783
76	1.037837349
77	1.037440036
78	1.037192792
79	1.036853817
80	1.036527219
81	1.036266048
82	1.035993838
83	1.035787221
84	1.035460564
85	1.035148669
86	1.034894734
87	1.034533459
88	1.034330433
89	1.033941182
90	1.03350996
91	1.033129635
92	1.032844897
93	1.032526374
94	1.032045321
95	1.031705616
96	1.031441855
97	1.031186072
98	1.030790005
99	1.03048736
100	1.030092561
101	1.029767581
102	1.029325598
103	1.028990746
104	1.028715403
105	1.028472225
106	1.028244774
107	1.027958615
108	1.027606666
109	1.02757726
110	1.027334349
111	1.027027982
112	1.026701537
113	1.026579602
114	1.026344353
115	1.026023008
116	1.025724538
117	1.025481952
118	1.025273545
119	1.024845421
120	1.024525746
121	1.024308454
122	1.024001415
123	1.023698824
124	1.023442374
125	1.023115592
126	1.022820777
127	1.022474263
128	1.021995702
129	1.021743974
130	1.021448464
131	1.021222122
132	1.020975106
133	1.020730343
134	1.02038096
135	1.020151068
136	1.019851542
137	1.019684116
138	1.019257367
139	1.018913404
140	1.018689975
141	1.01841913
142	1.018205217
143	1.017970495
144	1.017564352
145	1.017178409
146	1.01690844
147	1.016635351
148	1.016336319
149	1.016095473
150	1.01575175
151	1.015749288
152	1.015358629
153	1.015051264
154	1.014889215
155	1.014641883
156	1.014355018
157	1.013960194
158	1.013656169
159	1.013469169
160	1.013291997
161	1.013017363
162	1.012731958
163	1.01247164
164	1.012125829
165	1.011842712
166	1.01164974
167	1.011406629
168	1.010998955
169	1.010737252
170	1.010538876
171	1.01014844
172	1.010013578
173	1.009687894
174	1.00925244
175	1.008857971
176	1.008465027
177	1.008049461
178	1.007624527
179	1.007457225
180	1.007191273
181	1.006901481
182	1.006623221
183	1.006285112
184	1.005997057
185	1.005690813
186	1.005360275
187	1.005111739
188	1.004669775
189	1.004451729
190	1.004113345
191	1.003891153
192	1.003507405
193	1.003507185
194	1.003075031
195	1.002676105
196	1.002508818
197	1.002059408
198	1.001747609
199	1.001384453
200	1.001072277
201	1.000853558
202	1.000611103
203	1.000254997
204	1.000020965
205	0.9996415742
206	0.9993336231
207	0.9990976959
208	0.9988128327
209	0.9985663268
210	0.9983258657
211	0.9980082913
212	0.9977867062
213	0.9974860692
214	0.9972619617
215	0.9969260279
216	0.9967005071
217	0.9965084859
218	0.9962369447
219	0.9958640237
220	0.9956779094
221	0.9954736726
222	0.9952049985
223	0.9949302348
224	0.9947299052
225	0.9945478431
226	0.9942523049
227	0.994043078
228	0.9937999554
229	0.9933372927
230	0.9930632497
231	0.9928300177
232	0.9925151885
233	0.9922352878
234	0.9919562503
235	0.9915880415
236	0.991394526
